"","name","lat","long","segment","isCentralOffice"
"186","1025086 Commonwealth Of Pennsylvania State Police",40.904167,-75.680833,93,FALSE
"187","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,94,TRUE
"188","1032557 AT&T Corp",40.473111,-75.6735,94,FALSE
"189","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,95,TRUE
"190","1032557 AT&T Corp",40.473111,-75.6735,95,FALSE
"191","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,96,TRUE
"192","1032557 AT&T Corp",40.473111,-75.6735,96,FALSE
"193","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,97,TRUE
"194","1203218 Spectrasite Communications LLC. Through American Towers LLC.",40.669722,-75.663333,97,FALSE
"195","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,98,TRUE
"196","1203218 Spectrasite Communications LLC. Through American Towers LLC.",40.669722,-75.663333,98,FALSE
"197","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,99,TRUE
"198","1203218 Spectrasite Communications LLC. Through American Towers LLC.",40.669722,-75.663333,99,FALSE
"199","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,100,TRUE
"200","1231637 American Towers LLC",40.861556,-75.662333,100,FALSE
"201","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,101,TRUE
"202","1231637 American Towers LLC",40.861556,-75.662333,101,FALSE
"203","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,102,TRUE
"204","1231637 American Towers LLC",40.861556,-75.662333,102,FALSE
"205","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,103,TRUE
"206","1234611 Spectrasite Communications LLC. Through American Towers LLC.",40.622778,-75.649167,103,FALSE
"207","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,104,TRUE
"208","1234611 Spectrasite Communications LLC. Through American Towers LLC.",40.622778,-75.649167,104,FALSE
"209","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,105,TRUE
"210","1234611 Spectrasite Communications LLC. Through American Towers LLC.",40.622778,-75.649167,105,FALSE
