ID,BridgeClass,Census Tract,Name,Owner,BridgeType,Width,NumSpans,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude
PA015006,HWB12,42077001402,SR 2010 (LR 39109),State Highway Agency,,8.9,4,13,30,,,1939,0,N000000000,,3,7107,,,817.21,40.56336,-75.51247
PA015007,HWB3 ,42077007000,SR 2016 (LR39006),State Highway Agency,,7.9,1,9,0,,,1934,0,N000000000,,6,1692,,,139.5,40.47703,-75.49939
PA015008,HWB15,42077006307, SR 2017(LR39025),State Highway Agency,,10.8,3,29,30,,,1957,0,N000000000,,4,7344,,,"1,487.51",40.54194,-75.55219
PA015009,HWB3 ,42077006905,SR 2024 (LR 39007),State Highway Agency,,7.9,1,8,0,,,1937,0,N000000000,,3,2406,,,111.6,40.51892,-75.39203
PA015010,HWB3 ,42077006402,SR 2025(LR 39005),State Highway Agency,,7.9,1,8,30,,,1933,0,N000000000,,3,308,,,125.55,40.47119,-75.52289
PA015011,HWB15,42077006903,SR2038(LR 39076),State Highway Agency,,12.6,2,46,56,,,1989,0,H051000000,,N,1018,,,"2,981.38",40.56333,-75.41667
PA015014,HWB3 ,42077006202,SR 3015 (LR 39047),State Highway Agency,,10.2,1,35,41,,,1958,0,H044700000,,N,995,,,684.42,40.575,-75.65667
PA015016,HWB3 ,42077005402,SR 4003 (LR39083),State Highway Agency,,10.2,1,34,39,,,1958,0,H043400000,,N,559,,,666.41,40.57833,-75.69167
PA015018,HWB3 ,42077005301,SR 4009 (LR 39057),State Highway Agency,,11,1,7,30,,,1958,0,N000000000,,3,1166,,,155.39,40.68569,-75.64561
PA015019,HWB3 ,42077005200,SR 4024 (APPL.745),State Highway Agency,,7.6,1,9,30,,,1933,0,N000000000,,3,1521,,,134.2,40.74264,-75.67961
PA015020,HWB3 ,42077005402,SR 4025 (LR 39064),State Highway Agency,,10.8,1,12,30,,,1964,0,N000000000,,3,315,,,228.85,40.62439,-75.67617
PA015021,HWB3 ,42077005401,SR 4025 (LR 39059),State Highway Agency,,7.8,1,15,15,,,1949,0,N000000000,,6,325,,,220.37,40.64158,-75.662
PA015022,HWB28,42077001402,DEVONSHIRE ROAD,County Highway Agency,,6.5,3,8,0,,,1870,0,N000000000,,3,500,,,263.99,40.55581,-75.50753
PA015023,HWB12,42077001402,KEYSTONE RD,County Highway Agency,,7.9,3,15,2,,,1954,0,N000000000,,6,200,,,655.64,40.55333,-75.50167
PA015024,HWB28,42077005602,WATER STREET,Town Highway Agency,,6.8,2,3,7,,,0,0,N000000000,,6,0,,,96.06,40.65566,-75.48322
PA015025,HWB3 ,42077005602,CENTER STREET,Town Highway Agency,,15.2,1,12,15,,,1960,0,N000000000,,3,1000,,,348.92,40.66097,-75.50886
PA015026,HWB3 ,42077005601,CHESTNUT STREET,Town Highway Agency,,7.7,1,9,0,,,1950,0,N000000000,,3,500,,,122.37,40.67411,-75.52519
PA015027,HWB3 ,42077005601,BRIDGE STREET,County Highway Agency,,7.4,1,15,15,,,1955,0,N000000000,,5,100,,,209.07,40.67619,-75.53069
PA015028,HWB3 ,42077005705,T-862 MICKLEY RD,Town Highway Agency,,7.9,1,7,27,,,1920,0,N000000000,,3,3000,,,97.65,40.62733,-75.49064
PA015029,HWB28,42077005705,T-862 OLD MICKLEY,County Highway Agency,,8.5,3,9,0,,,1900,0,N000000000,,3,4000,,,450.28,40.63139,-75.48861
PA015030,HWB3 ,42077006102,T-514SPRINGHOUSE R,Town Highway Agency,,13.7,1,6,0,,,1963,0,N000000000,,5,3851,,,169.34,40.60056,-75.54719
PA015031,HWB4 ,42077006002,"T-578,JORDAN RD.",Town Highway Agency,,9.1,1,7,0,,,1996,0,N000000000,,6,349,,,128.55,40.62333,-75.605
PA015032,HWB28,42077006002,T597 WEHRS COVERED,County Highway Agency,,5.9,3,14,0,,,1841,0,N000000000,,3,100,,,406.31,40.62847,-75.56967
PA015033,HWB3 ,42077006002,T602 MANASSES CVRD,County Highway Agency,,5.5,1,34,0,,,1858,0,N000000000,,7,100,,,359.34,40.62947,-75.55319
PA015035,HWB3 ,42077005301,T725 REX ROAD,Town Highway Agency,,7.2,1,10,0,,,1940,0,N000000000,,3,50,,,127.14,40.71208,-75.71589
PA015036,HWB3 ,42077005301,T778 HUNTERS HILL,Town Highway Agency,,6,1,7,0,,,1917,0,N000000000,,6,500,,,95.35,40.69833,-75.71
PA015037,HWB3 ,42077005301,T790 CENTRAL ROAD,Town Highway Agency,,7.2,1,12,0,,,1952,0,N000000000,,3,50,,,165.28,40.6895,-75.69889
PA015038,HWB3 ,42077005301,T-808 CHESTER ROAD,Town Highway Agency,,7.4,1,7,0,,,1981,0,N000000000,,5,100,,,91.47,40.72022,-75.72608
PA015039,HWB3 ,42077006302,T-476 SMITH LANE,Town Highway Agency,,7.3,1,9,0,,,1970,0,N000000000,,3,50,,,128.9,40.52528,-75.6225
PA015040,HWB28,42077006307,T-469 CHURCH LN,Town Highway Agency,,4.8,2,6,0,,,1930,0,54600000,,N,500,,,95.35,40.545,-75.60167
PA015041,HWB3 ,42077006302,T-472 ASH LANE,Town Highway Agency,,7.3,1,10,0,,,1966,0,N000000000,,6,0,,,128.9,40.505,-75.595
PA015042,HWB3 ,42077006304,T473 RIVERBEND RD.,County Highway Agency,,7.8,1,22,39,,,1954,0,N000000000,,8,500,,,330.56,40.54831,-75.51178
PA015043,HWB3 ,42077006302,T-482 ORCHARD RD,Town Highway Agency,,7.4,1,8,0,,,1978,0,N000000000,,7,100,,,104.54,40.51381,-75.57864
PA015044,HWB3 ,42077006308,T-498 MILL CREEK,County Highway Agency,,10.8,1,20,23,,,1967,0,N000000000,,3,100,,,400.48,40.53836,-75.57206
PA015045,HWB26,42077006307,T-504 MACUNGIE RD,Town Highway Agency,,4.9,2,8,0,,,1950,0,N000000000,,3,500,,,180.11,40.53303,-75.53561
PA015046,HWB3 ,42077006307,T-508 WILD CHERRY,Town Highway Agency,,7.3,1,9,0,,,1980,0,N000000000,,3,100,,,128.9,40.54022,-75.54225
PA015047,HWB3 ,42077006307,T-510 MILLRACE RD,Town Highway Agency,,4.9,1,10,0,,,1960,0,N000000000,,2,50,,,116.54,40.54056,-75.53
PA015048,HWB3 ,42077007000,T-387 SCHULTZS ML,County Highway Agency,,7.9,1,17,40,,,1956,0,N000000000,,3,100,,,237.15,40.44922,-75.51036
PA015049,HWB3 ,42077005401,T-581 VALLEY RD,Town Highway Agency,,4.9,1,9,0,,,1945,0,N000000000,,2,50,,,116.54,40.62497,-75.67389
PA015050,HWB17,42077005401,T-593(JORDAN RD),County Highway Agency,,8.8,2,18,30,,,1959,0,N000000000,,3,100,,,590.48,40.63783,-75.62508
PA015051,HWB28,42077005401,T-633 OLD VILLAGE,County Highway Agency,,6.6,3,5,0,,,1889,0,N000000000,,3,25,,,151.51,40.62867,-75.66964
PA015052,HWB3 ,42077005401,T-649 NARRIS RD,Town Highway Agency,,4.1,1,7,0,,,1965,0,N000000000,,6,100,,,74.16,40.66203,-75.69997
